scenario_id,ordinary,oracle,cause,trace_diagnosis,reference_equivalent,annotation_uncertainty
pilot-01,incorrect_plan,false_infeasibility,Direction + numeric value; judge; missing useful candidate,"Latest departure became depart_ge, with wrong numbers. The wrong satisfied label keeps an invalid plan; oracle instead returns false infeasibility. Value-only binding cannot correct the operator.",False,Provisional; grammar matches; human review absent. Arithmetic versus extraction cannot always be separated.
pilot-02,false_infeasibility,false_infeasibility,Wrong intermediate entities/order; missing alternatives,All raw variants reject the pool because their visit requirements are wrong. Source timing normalization cannot fix the visit lists; oracle has no witness.,False,Provisional; grammar matches; human review absent. Arithmetic versus extraction cannot always be separated.
pilot-05,invalid_model_output,invalid_model_output,Unsupported-model report,All four outputs reject supported time operations. The requested same-day contradiction is intentional; no parsed AST exists for value-only repair.,False,Provisional; grammar matches; human review absent. Arithmetic versus extraction cannot always be separated.
pilot-09,false_infeasibility,false_infeasibility,Numeric time encoding + one malformed JSON; missing alternatives,"09:39:47 is 34787 seconds, not 35947. The first output also contains a JSON comment. Three parsed copies agree on the wrong infeasible bound.",False,Provisional; grammar matches; human review absent. Arithmetic versus extraction cannot always be separated.
pilot-14,false_infeasibility,false_infeasibility,Direction + numeric value; candidate elimination damage,"All variants turn a latest bound into an earliest bound. A correct negative witness label removes candidates with valid selected plans and leaves false infeasibility, including under oracle labels.",False,Provisional; grammar matches; human review absent. Arithmetic versus extraction cannot always be separated.
pilot-15,invalid_model_output,invalid_model_output,Unsupported-model report,All four outputs reject supported time operations; no parsed AST. The explicit 08:30 departure / 08:00 arrival contradiction is not a reference error.,False,Provisional; grammar matches; human review absent. Arithmetic versus extraction cannot always be separated.
pilot-19,incorrect_plan,incorrect_plan,Reversed temporal inequality; missing alternatives,The first value 28586 is correct for 07:56:26; other raw variants have wrong values. All use depart_ge instead of depart_le. One semantic class selects a late plan; value-only normalization cannot fix the direction.,False,Provisional; grammar matches; human review absent. Arithmetic versus extraction cannot always be separated.
pilot-22,false_infeasibility,false_infeasibility,Invented outbound bound / scope + wrong return value,"Return-only wording is accompanied by an invented outbound bound, e.g. depart_ge 34500. Correcting the return value 32500 to 33900 leaves the added outbound restriction and false infeasibility.",False,Provisional; grammar matches; human review absent. Arithmetic versus extraction cannot always be separated.
pilot-23,invalid_model_output,invalid_model_output,Unsupported-model report,Four unsupported reports for supported time atoms; the deliberately infeasible conjunction remains representable. No parsed formula to normalize.,False,Provisional; grammar matches; human review absent. Arithmetic versus extraction cannot always be separated.
pilot-27,incorrect_plan,false_infeasibility,Numeric time encoding; judge; missing useful candidate,"Return 09:40:00 is 34800 seconds; candidates use 35400 or 5840, among other values. A wrong positive label chooses a too-early return; oracle chooses false infeasibility. Value-only sensitivity recovers a valid initial plan.",False,Provisional; grammar matches; human review absent. Arithmetic versus extraction cannot always be separated.
pilot-33,invalid_model_output,invalid_model_output,Unsupported-model report,"Four unsupported reports, not an infrastructure failure or proof of infeasibility. Clock conversion alone cannot recover a missing formula.",False,Provisional; grammar matches; human review absent. Arithmetic versus extraction cannot always be separated.
pilot-34,incorrect_plan,correct_feasible_plan,Numeric time encoding; decisive judge error,08:42:07 is 31327 seconds. The pool-equivalent c3 alternative exists despite its 31247 value; the second wrong label removes it. Correct oracle labels recover the request; value normalization also fixes the initial plan.,True,Provisional; grammar matches; human review absent. Arithmetic versus extraction cannot always be separated.
pilot-35,incorrect_plan,incorrect_plan,Numeric time encoding; missing alternatives,Return 09:16:00 is 33360 seconds; c0 uses 3696. Different formulas all accept the same pool and select an early return. Value-only sensitivity fixes the initial plan.,False,Provisional; grammar matches; human review absent. Arithmetic versus extraction cannot always be separated.
pilot-40,false_infeasibility,correct_feasible_plan,Invented outbound bound / scope; decisive judge error,"A pool-equivalent, valid-plan alternative exists. The judge incorrectly says 09:42 is earlier than 09:12 and eliminates it. Normalizing the return number does not remove c0's invented outbound bound; correct oracle judgment is still needed.",True,Provisional; grammar matches; human review absent. Arithmetic versus extraction cannot always be separated.
pilot-41,invalid_model_output,invalid_model_output,Unsupported-model report,All four outputs incorrectly report supported departure/arrival operations unsupported. No AST exists; this is not an arithmetic compiler bug.,False,Provisional; grammar matches; human review absent. Arithmetic versus extraction cannot always be separated.
