budget,calls,category,correct,family,input_tokens,judgments,method,mode,output_tokens,plan_id,reference_feasible,remaining,scenario_id
0,4,correct_feasible_plan,True,timing,9028,0,D,model,522,0e81a91bb035a1d8574d,True,3,pilot-00
0,4,correct_feasible_plan,True,timing,9028,0,D,oracle,522,0e81a91bb035a1d8574d,True,3,pilot-00
1,5,correct_feasible_plan,True,timing,9586,1,D,model,583,0e81a91bb035a1d8574d,True,1,pilot-00
1,4,correct_feasible_plan,True,timing,9028,1,D,oracle,522,0e81a91bb035a1d8574d,True,1,pilot-00
2,5,correct_feasible_plan,True,timing,9586,1,D,model,583,0e81a91bb035a1d8574d,True,1,pilot-00
2,4,correct_feasible_plan,True,timing,9028,1,D,oracle,522,0e81a91bb035a1d8574d,True,1,pilot-00
4,5,correct_feasible_plan,True,timing,9586,1,D,model,583,0e81a91bb035a1d8574d,True,1,pilot-00
4,4,correct_feasible_plan,True,timing,9028,1,D,oracle,522,0e81a91bb035a1d8574d,True,1,pilot-00
0,4,correct_feasible_plan,True,timing,9028,0,E,model,522,0e81a91bb035a1d8574d,True,3,pilot-00
0,4,correct_feasible_plan,True,timing,9028,0,E,oracle,522,0e81a91bb035a1d8574d,True,3,pilot-00
1,5,correct_feasible_plan,True,timing,9582,1,E,model,580,0e81a91bb035a1d8574d,True,2,pilot-00
1,4,correct_feasible_plan,True,timing,9028,1,E,oracle,522,0e81a91bb035a1d8574d,True,2,pilot-00
2,6,correct_feasible_plan,True,timing,10140,2,E,model,641,0e81a91bb035a1d8574d,True,1,pilot-00
2,4,correct_feasible_plan,True,timing,9028,2,E,oracle,522,0e81a91bb035a1d8574d,True,1,pilot-00
4,6,correct_feasible_plan,True,timing,10140,2,E,model,641,0e81a91bb035a1d8574d,True,1,pilot-00
4,4,correct_feasible_plan,True,timing,9028,2,E,oracle,522,0e81a91bb035a1d8574d,True,1,pilot-00
0,1,correct_feasible_plan,True,timing,2257,0,A,model,127,0e81a91bb035a1d8574d,True,,pilot-00
0,4,incorrect_plan,False,mode_exclusion,9028,0,D,model,686,4f068e23d6f9f80811f2,True,2,pilot-01
0,4,incorrect_plan,False,mode_exclusion,9028,0,D,oracle,686,4f068e23d6f9f80811f2,True,2,pilot-01
1,5,incorrect_plan,False,mode_exclusion,9508,1,D,model,754,4f068e23d6f9f80811f2,True,1,pilot-01
1,4,false_infeasibility,False,mode_exclusion,9028,1,D,oracle,686,,True,1,pilot-01
2,5,incorrect_plan,False,mode_exclusion,9508,1,D,model,754,4f068e23d6f9f80811f2,True,1,pilot-01
2,4,false_infeasibility,False,mode_exclusion,9028,1,D,oracle,686,,True,1,pilot-01
4,5,incorrect_plan,False,mode_exclusion,9508,1,D,model,754,4f068e23d6f9f80811f2,True,1,pilot-01
4,4,false_infeasibility,False,mode_exclusion,9028,1,D,oracle,686,,True,1,pilot-01
0,4,incorrect_plan,False,mode_exclusion,9028,0,E,model,686,4f068e23d6f9f80811f2,True,2,pilot-01
0,4,incorrect_plan,False,mode_exclusion,9028,0,E,oracle,686,4f068e23d6f9f80811f2,True,2,pilot-01
1,5,incorrect_plan,False,mode_exclusion,9508,1,E,model,754,4f068e23d6f9f80811f2,True,1,pilot-01
1,4,false_infeasibility,False,mode_exclusion,9028,1,E,oracle,686,,True,1,pilot-01
2,5,incorrect_plan,False,mode_exclusion,9508,1,E,model,754,4f068e23d6f9f80811f2,True,1,pilot-01
2,4,false_infeasibility,False,mode_exclusion,9028,1,E,oracle,686,,True,1,pilot-01
4,5,incorrect_plan,False,mode_exclusion,9508,1,E,model,754,4f068e23d6f9f80811f2,True,1,pilot-01
4,4,false_infeasibility,False,mode_exclusion,9028,1,E,oracle,686,,True,1,pilot-01
0,1,incorrect_plan,False,mode_exclusion,2257,0,A,model,167,4f068e23d6f9f80811f2,True,,pilot-01
0,4,false_infeasibility,False,ordered_visits,9036,0,D,model,891,,True,1,pilot-02
0,4,false_infeasibility,False,ordered_visits,9036,0,D,oracle,891,,True,1,pilot-02
1,4,false_infeasibility,False,ordered_visits,9036,0,D,model,891,,True,1,pilot-02
1,4,false_infeasibility,False,ordered_visits,9036,0,D,oracle,891,,True,1,pilot-02
2,4,false_infeasibility,False,ordered_visits,9036,0,D,model,891,,True,1,pilot-02
2,4,false_infeasibility,False,ordered_visits,9036,0,D,oracle,891,,True,1,pilot-02
4,4,false_infeasibility,False,ordered_visits,9036,0,D,model,891,,True,1,pilot-02
4,4,false_infeasibility,False,ordered_visits,9036,0,D,oracle,891,,True,1,pilot-02
0,4,false_infeasibility,False,ordered_visits,9036,0,E,model,891,,True,1,pilot-02
0,4,false_infeasibility,False,ordered_visits,9036,0,E,oracle,891,,True,1,pilot-02
1,4,false_infeasibility,False,ordered_visits,9036,0,E,model,891,,True,1,pilot-02
1,4,false_infeasibility,False,ordered_visits,9036,0,E,oracle,891,,True,1,pilot-02
2,4,false_infeasibility,False,ordered_visits,9036,0,E,model,891,,True,1,pilot-02
2,4,false_infeasibility,False,ordered_visits,9036,0,E,oracle,891,,True,1,pilot-02
4,4,false_infeasibility,False,ordered_visits,9036,0,E,model,891,,True,1,pilot-02
4,4,false_infeasibility,False,ordered_visits,9036,0,E,oracle,891,,True,1,pilot-02
0,1,false_infeasibility,False,ordered_visits,2259,0,A,model,270,,True,,pilot-02
0,4,correct_feasible_plan,True,transfers,9000,0,D,model,528,0ac46ca40ee069f89ea9,True,1,pilot-03
0,4,correct_feasible_plan,True,transfers,9000,0,D,oracle,528,0ac46ca40ee069f89ea9,True,1,pilot-03
1,4,correct_feasible_plan,True,transfers,9000,0,D,model,528,0ac46ca40ee069f89ea9,True,1,pilot-03
1,4,correct_feasible_plan,True,transfers,9000,0,D,oracle,528,0ac46ca40ee069f89ea9,True,1,pilot-03
2,4,correct_feasible_plan,True,transfers,9000,0,D,model,528,0ac46ca40ee069f89ea9,True,1,pilot-03
2,4,correct_feasible_plan,True,transfers,9000,0,D,oracle,528,0ac46ca40ee069f89ea9,True,1,pilot-03
4,4,correct_feasible_plan,True,transfers,9000,0,D,model,528,0ac46ca40ee069f89ea9,True,1,pilot-03
4,4,correct_feasible_plan,True,transfers,9000,0,D,oracle,528,0ac46ca40ee069f89ea9,True,1,pilot-03
0,4,correct_feasible_plan,True,transfers,9000,0,E,model,528,0ac46ca40ee069f89ea9,True,1,pilot-03
0,4,correct_feasible_plan,True,transfers,9000,0,E,oracle,528,0ac46ca40ee069f89ea9,True,1,pilot-03
1,4,correct_feasible_plan,True,transfers,9000,0,E,model,528,0ac46ca40ee069f89ea9,True,1,pilot-03
1,4,correct_feasible_plan,True,transfers,9000,0,E,oracle,528,0ac46ca40ee069f89ea9,True,1,pilot-03
2,4,correct_feasible_plan,True,transfers,9000,0,E,model,528,0ac46ca40ee069f89ea9,True,1,pilot-03
2,4,correct_feasible_plan,True,transfers,9000,0,E,oracle,528,0ac46ca40ee069f89ea9,True,1,pilot-03
4,4,correct_feasible_plan,True,transfers,9000,0,E,model,528,0ac46ca40ee069f89ea9,True,1,pilot-03
4,4,correct_feasible_plan,True,transfers,9000,0,E,oracle,528,0ac46ca40ee069f89ea9,True,1,pilot-03
0,1,correct_feasible_plan,True,transfers,2250,0,A,model,135,0ac46ca40ee069f89ea9,True,,pilot-03
0,4,correct_feasible_plan,True,scope,9472,0,D,model,704,44325a1d6f986fbdec4c,True,2,pilot-04
0,4,correct_feasible_plan,True,scope,9472,0,D,oracle,704,44325a1d6f986fbdec4c,True,2,pilot-04
1,5,correct_feasible_plan,True,scope,10364,1,D,model,757,44325a1d6f986fbdec4c,True,1,pilot-04
1,4,correct_feasible_plan,True,scope,9472,1,D,oracle,704,44325a1d6f986fbdec4c,True,1,pilot-04
2,5,correct_feasible_plan,True,scope,10364,1,D,model,757,44325a1d6f986fbdec4c,True,1,pilot-04
2,4,correct_feasible_plan,True,scope,9472,1,D,oracle,704,44325a1d6f986fbdec4c,True,1,pilot-04
4,5,correct_feasible_plan,True,scope,10364,1,D,model,757,44325a1d6f986fbdec4c,True,1,pilot-04
4,4,correct_feasible_plan,True,scope,9472,1,D,oracle,704,44325a1d6f986fbdec4c,True,1,pilot-04
0,4,correct_feasible_plan,True,scope,9472,0,E,model,704,44325a1d6f986fbdec4c,True,2,pilot-04
0,4,correct_feasible_plan,True,scope,9472,0,E,oracle,704,44325a1d6f986fbdec4c,True,2,pilot-04
1,5,correct_feasible_plan,True,scope,10364,1,E,model,757,44325a1d6f986fbdec4c,True,1,pilot-04
1,4,correct_feasible_plan,True,scope,9472,1,E,oracle,704,44325a1d6f986fbdec4c,True,1,pilot-04
2,5,correct_feasible_plan,True,scope,10364,1,E,model,757,44325a1d6f986fbdec4c,True,1,pilot-04
2,4,correct_feasible_plan,True,scope,9472,1,E,oracle,704,44325a1d6f986fbdec4c,True,1,pilot-04
4,5,correct_feasible_plan,True,scope,10364,1,E,model,757,44325a1d6f986fbdec4c,True,1,pilot-04
4,4,correct_feasible_plan,True,scope,9472,1,E,oracle,704,44325a1d6f986fbdec4c,True,1,pilot-04
0,1,correct_feasible_plan,True,scope,2368,0,A,model,168,44325a1d6f986fbdec4c,True,,pilot-04
0,4,invalid_model_output,False,infeasible,9044,0,D,model,162,,False,0,pilot-05
0,4,invalid_model_output,False,infeasible,9044,0,D,oracle,162,,False,0,pilot-05
1,4,invalid_model_output,False,infeasible,9044,0,D,model,162,,False,0,pilot-05
1,4,invalid_model_output,False,infeasible,9044,0,D,oracle,162,,False,0,pilot-05
2,4,invalid_model_output,False,infeasible,9044,0,D,model,162,,False,0,pilot-05
2,4,invalid_model_output,False,infeasible,9044,0,D,oracle,162,,False,0,pilot-05
4,4,invalid_model_output,False,infeasible,9044,0,D,model,162,,False,0,pilot-05
4,4,invalid_model_output,False,infeasible,9044,0,D,oracle,162,,False,0,pilot-05
0,4,invalid_model_output,False,infeasible,9044,0,E,model,162,,False,0,pilot-05
0,4,invalid_model_output,False,infeasible,9044,0,E,oracle,162,,False,0,pilot-05
1,4,invalid_model_output,False,infeasible,9044,0,E,model,162,,False,0,pilot-05
1,4,invalid_model_output,False,infeasible,9044,0,E,oracle,162,,False,0,pilot-05
2,4,invalid_model_output,False,infeasible,9044,0,E,model,162,,False,0,pilot-05
2,4,invalid_model_output,False,infeasible,9044,0,E,oracle,162,,False,0,pilot-05
4,4,invalid_model_output,False,infeasible,9044,0,E,model,162,,False,0,pilot-05
4,4,invalid_model_output,False,infeasible,9044,0,E,oracle,162,,False,0,pilot-05
0,1,invalid_model_output,False,infeasible,2261,0,A,model,45,,False,,pilot-05
0,4,correct_feasible_plan,True,mode_exclusion,9036,0,D,model,686,06a8981f38212ea1c2e1,True,3,pilot-06
0,4,correct_feasible_plan,True,mode_exclusion,9036,0,D,oracle,686,06a8981f38212ea1c2e1,True,3,pilot-06
1,5,correct_feasible_plan,True,mode_exclusion,9672,1,D,model,750,06a8981f38212ea1c2e1,True,2,pilot-06
1,4,correct_feasible_plan,True,mode_exclusion,9036,1,D,oracle,686,0466e64c29c7b114cae5,True,1,pilot-06
2,6,correct_feasible_plan,True,mode_exclusion,10309,2,D,model,829,06a8981f38212ea1c2e1,True,1,pilot-06
2,4,correct_feasible_plan,True,mode_exclusion,9036,1,D,oracle,686,0466e64c29c7b114cae5,True,1,pilot-06
4,6,correct_feasible_plan,True,mode_exclusion,10309,2,D,model,829,06a8981f38212ea1c2e1,True,1,pilot-06
4,4,correct_feasible_plan,True,mode_exclusion,9036,1,D,oracle,686,0466e64c29c7b114cae5,True,1,pilot-06
0,4,correct_feasible_plan,True,mode_exclusion,9036,0,E,model,686,06a8981f38212ea1c2e1,True,3,pilot-06
0,4,correct_feasible_plan,True,mode_exclusion,9036,0,E,oracle,686,06a8981f38212ea1c2e1,True,3,pilot-06
1,5,correct_feasible_plan,True,mode_exclusion,9672,1,E,model,750,06a8981f38212ea1c2e1,True,2,pilot-06
1,4,correct_feasible_plan,True,mode_exclusion,9036,1,E,oracle,686,0466e64c29c7b114cae5,True,1,pilot-06
2,6,correct_feasible_plan,True,mode_exclusion,10309,2,E,model,829,06a8981f38212ea1c2e1,True,1,pilot-06
2,4,correct_feasible_plan,True,mode_exclusion,9036,1,E,oracle,686,0466e64c29c7b114cae5,True,1,pilot-06
4,6,correct_feasible_plan,True,mode_exclusion,10309,2,E,model,829,06a8981f38212ea1c2e1,True,1,pilot-06
4,4,correct_feasible_plan,True,mode_exclusion,9036,1,E,oracle,686,0466e64c29c7b114cae5,True,1,pilot-06
0,1,correct_feasible_plan,True,mode_exclusion,2259,0,A,model,167,06a8981f38212ea1c2e1,True,,pilot-06
0,4,correct_feasible_plan,True,ordered_visits,9020,0,D,model,901,19e9794bfbc0e5b01e46,True,1,pilot-07
0,4,correct_feasible_plan,True,ordered_visits,9020,0,D,oracle,901,19e9794bfbc0e5b01e46,True,1,pilot-07
1,4,correct_feasible_plan,True,ordered_visits,9020,0,D,model,901,19e9794bfbc0e5b01e46,True,1,pilot-07
1,4,correct_feasible_plan,True,ordered_visits,9020,0,D,oracle,901,19e9794bfbc0e5b01e46,True,1,pilot-07
2,4,correct_feasible_plan,True,ordered_visits,9020,0,D,model,901,19e9794bfbc0e5b01e46,True,1,pilot-07
2,4,correct_feasible_plan,True,ordered_visits,9020,0,D,oracle,901,19e9794bfbc0e5b01e46,True,1,pilot-07
4,4,correct_feasible_plan,True,ordered_visits,9020,0,D,model,901,19e9794bfbc0e5b01e46,True,1,pilot-07
4,4,correct_feasible_plan,True,ordered_visits,9020,0,D,oracle,901,19e9794bfbc0e5b01e46,True,1,pilot-07
0,4,correct_feasible_plan,True,ordered_visits,9020,0,E,model,901,19e9794bfbc0e5b01e46,True,1,pilot-07
0,4,correct_feasible_plan,True,ordered_visits,9020,0,E,oracle,901,19e9794bfbc0e5b01e46,True,1,pilot-07
1,4,correct_feasible_plan,True,ordered_visits,9020,0,E,model,901,19e9794bfbc0e5b01e46,True,1,pilot-07
1,4,correct_feasible_plan,True,ordered_visits,9020,0,E,oracle,901,19e9794bfbc0e5b01e46,True,1,pilot-07
2,4,correct_feasible_plan,True,ordered_visits,9020,0,E,model,901,19e9794bfbc0e5b01e46,True,1,pilot-07
2,4,correct_feasible_plan,True,ordered_visits,9020,0,E,oracle,901,19e9794bfbc0e5b01e46,True,1,pilot-07
4,4,correct_feasible_plan,True,ordered_visits,9020,0,E,model,901,19e9794bfbc0e5b01e46,True,1,pilot-07
4,4,correct_feasible_plan,True,ordered_visits,9020,0,E,oracle,901,19e9794bfbc0e5b01e46,True,1,pilot-07
0,1,correct_feasible_plan,True,ordered_visits,2255,0,A,model,219,19e9794bfbc0e5b01e46,True,,pilot-07
0,4,correct_feasible_plan,True,timing,9032,0,D,model,520,1bd242b68e4b940009a7,True,2,pilot-08
0,4,correct_feasible_plan,True,timing,9032,0,D,oracle,520,1bd242b68e4b940009a7,True,2,pilot-08
1,5,correct_feasible_plan,True,timing,9638,1,D,model,587,1bd242b68e4b940009a7,True,1,pilot-08
1,4,correct_feasible_plan,True,timing,9032,1,D,oracle,520,1bd242b68e4b940009a7,True,1,pilot-08
2,5,correct_feasible_plan,True,timing,9638,1,D,model,587,1bd242b68e4b940009a7,True,1,pilot-08
2,4,correct_feasible_plan,True,timing,9032,1,D,oracle,520,1bd242b68e4b940009a7,True,1,pilot-08
4,5,correct_feasible_plan,True,timing,9638,1,D,model,587,1bd242b68e4b940009a7,True,1,pilot-08
4,4,correct_feasible_plan,True,timing,9032,1,D,oracle,520,1bd242b68e4b940009a7,True,1,pilot-08
0,4,correct_feasible_plan,True,timing,9032,0,E,model,520,1bd242b68e4b940009a7,True,2,pilot-08
0,4,correct_feasible_plan,True,timing,9032,0,E,oracle,520,1bd242b68e4b940009a7,True,2,pilot-08
1,5,correct_feasible_plan,True,timing,9638,1,E,model,587,1bd242b68e4b940009a7,True,1,pilot-08
1,4,correct_feasible_plan,True,timing,9032,1,E,oracle,520,1bd242b68e4b940009a7,True,1,pilot-08
2,5,correct_feasible_plan,True,timing,9638,1,E,model,587,1bd242b68e4b940009a7,True,1,pilot-08
2,4,correct_feasible_plan,True,timing,9032,1,E,oracle,520,1bd242b68e4b940009a7,True,1,pilot-08
4,5,correct_feasible_plan,True,timing,9638,1,E,model,587,1bd242b68e4b940009a7,True,1,pilot-08
4,4,correct_feasible_plan,True,timing,9032,1,E,oracle,520,1bd242b68e4b940009a7,True,1,pilot-08
0,1,correct_feasible_plan,True,timing,2258,0,A,model,127,1bd242b68e4b940009a7,True,,pilot-08
0,4,false_infeasibility,False,scope,9488,0,D,model,514,,True,1,pilot-09
0,4,false_infeasibility,False,scope,9488,0,D,oracle,514,,True,1,pilot-09
1,4,false_infeasibility,False,scope,9488,0,D,model,514,,True,1,pilot-09
1,4,false_infeasibility,False,scope,9488,0,D,oracle,514,,True,1,pilot-09
2,4,false_infeasibility,False,scope,9488,0,D,model,514,,True,1,pilot-09
2,4,false_infeasibility,False,scope,9488,0,D,oracle,514,,True,1,pilot-09
4,4,false_infeasibility,False,scope,9488,0,D,model,514,,True,1,pilot-09
4,4,false_infeasibility,False,scope,9488,0,D,oracle,514,,True,1,pilot-09
0,4,false_infeasibility,False,scope,9488,0,E,model,514,,True,1,pilot-09
0,4,false_infeasibility,False,scope,9488,0,E,oracle,514,,True,1,pilot-09
1,4,false_infeasibility,False,scope,9488,0,E,model,514,,True,1,pilot-09
1,4,false_infeasibility,False,scope,9488,0,E,oracle,514,,True,1,pilot-09
2,4,false_infeasibility,False,scope,9488,0,E,model,514,,True,1,pilot-09
2,4,false_infeasibility,False,scope,9488,0,E,oracle,514,,True,1,pilot-09
4,4,false_infeasibility,False,scope,9488,0,E,model,514,,True,1,pilot-09
4,4,false_infeasibility,False,scope,9488,0,E,oracle,514,,True,1,pilot-09
0,1,invalid_model_output,False,scope,2372,0,A,model,136,,True,,pilot-09
0,4,correct_infeasibility,True,infeasible,8928,0,D,model,672,,False,1,pilot-10
0,4,correct_infeasibility,True,infeasible,8928,0,D,oracle,672,,False,1,pilot-10
1,4,correct_infeasibility,True,infeasible,8928,0,D,model,672,,False,1,pilot-10
1,4,correct_infeasibility,True,infeasible,8928,0,D,oracle,672,,False,1,pilot-10
2,4,correct_infeasibility,True,infeasible,8928,0,D,model,672,,False,1,pilot-10
2,4,correct_infeasibility,True,infeasible,8928,0,D,oracle,672,,False,1,pilot-10
4,4,correct_infeasibility,True,infeasible,8928,0,D,model,672,,False,1,pilot-10
4,4,correct_infeasibility,True,infeasible,8928,0,D,oracle,672,,False,1,pilot-10
0,4,correct_infeasibility,True,infeasible,8928,0,E,model,672,,False,1,pilot-10
0,4,correct_infeasibility,True,infeasible,8928,0,E,oracle,672,,False,1,pilot-10
1,4,correct_infeasibility,True,infeasible,8928,0,E,model,672,,False,1,pilot-10
1,4,correct_infeasibility,True,infeasible,8928,0,E,oracle,672,,False,1,pilot-10
2,4,correct_infeasibility,True,infeasible,8928,0,E,model,672,,False,1,pilot-10
2,4,correct_infeasibility,True,infeasible,8928,0,E,oracle,672,,False,1,pilot-10
4,4,correct_infeasibility,True,infeasible,8928,0,E,model,672,,False,1,pilot-10
4,4,correct_infeasibility,True,infeasible,8928,0,E,oracle,672,,False,1,pilot-10
0,1,correct_infeasibility,True,infeasible,2232,0,A,model,168,,False,,pilot-10
0,4,correct_feasible_plan,True,transfers,9004,0,D,model,528,1483b040dc8ba4f200f8,True,1,pilot-11
0,4,correct_feasible_plan,True,transfers,9004,0,D,oracle,528,1483b040dc8ba4f200f8,True,1,pilot-11
