scenario_id,method,budget,S,outcome,reference_feasible,oracle_witness_correct,judgments,final_plan_id,stop
pilot-00,D,0,True,correct_feasible_plan,True,True,0,0e81a91bb035a1d8574d,judgment_budget_limit
pilot-00,D,1,True,correct_feasible_plan,True,True,1,0e81a91bb035a1d8574d,one_class_no_witness
pilot-00,D,2,True,correct_feasible_plan,True,True,1,0e81a91bb035a1d8574d,one_class_no_witness
pilot-00,D,4,True,correct_feasible_plan,True,True,1,0e81a91bb035a1d8574d,one_class_no_witness
pilot-00,E,0,True,correct_feasible_plan,True,True,0,0e81a91bb035a1d8574d,judgment_budget_limit
pilot-00,E,1,True,correct_feasible_plan,True,True,1,0e81a91bb035a1d8574d,judgment_budget_limit
pilot-00,E,2,True,correct_feasible_plan,True,True,2,0e81a91bb035a1d8574d,one_class_no_witness
pilot-00,E,4,True,correct_feasible_plan,True,True,2,0e81a91bb035a1d8574d,one_class_no_witness
pilot-01,D,0,False,incorrect_plan,True,False,0,4f068e23d6f9f80811f2,judgment_budget_limit
pilot-01,D,1,False,incorrect_plan,True,False,1,4f068e23d6f9f80811f2,one_class_no_witness
pilot-01,D,2,False,incorrect_plan,True,False,1,4f068e23d6f9f80811f2,one_class_no_witness
pilot-01,D,4,False,incorrect_plan,True,False,1,4f068e23d6f9f80811f2,one_class_no_witness
pilot-01,E,0,False,incorrect_plan,True,False,0,4f068e23d6f9f80811f2,judgment_budget_limit
pilot-01,E,1,False,incorrect_plan,True,False,1,4f068e23d6f9f80811f2,one_class_no_witness
pilot-01,E,2,False,incorrect_plan,True,False,1,4f068e23d6f9f80811f2,one_class_no_witness
pilot-01,E,4,False,incorrect_plan,True,False,1,4f068e23d6f9f80811f2,one_class_no_witness
pilot-02,D,0,False,false_infeasibility,True,False,0,,one_class_no_witness
pilot-02,D,1,False,false_infeasibility,True,False,0,,one_class_no_witness
pilot-02,D,2,False,false_infeasibility,True,False,0,,one_class_no_witness
pilot-02,D,4,False,false_infeasibility,True,False,0,,one_class_no_witness
pilot-02,E,0,False,false_infeasibility,True,False,0,,one_class_no_witness
pilot-02,E,1,False,false_infeasibility,True,False,0,,one_class_no_witness
pilot-02,E,2,False,false_infeasibility,True,False,0,,one_class_no_witness
pilot-02,E,4,False,false_infeasibility,True,False,0,,one_class_no_witness
pilot-03,D,0,True,correct_feasible_plan,True,True,0,0ac46ca40ee069f89ea9,one_class_no_witness
pilot-03,D,1,True,correct_feasible_plan,True,True,0,0ac46ca40ee069f89ea9,one_class_no_witness
pilot-03,D,2,True,correct_feasible_plan,True,True,0,0ac46ca40ee069f89ea9,one_class_no_witness
pilot-03,D,4,True,correct_feasible_plan,True,True,0,0ac46ca40ee069f89ea9,one_class_no_witness
pilot-03,E,0,True,correct_feasible_plan,True,True,0,0ac46ca40ee069f89ea9,one_class_no_witness
pilot-03,E,1,True,correct_feasible_plan,True,True,0,0ac46ca40ee069f89ea9,one_class_no_witness
pilot-03,E,2,True,correct_feasible_plan,True,True,0,0ac46ca40ee069f89ea9,one_class_no_witness
pilot-03,E,4,True,correct_feasible_plan,True,True,0,0ac46ca40ee069f89ea9,one_class_no_witness
pilot-04,D,0,True,correct_feasible_plan,True,True,0,44325a1d6f986fbdec4c,judgment_budget_limit
pilot-04,D,1,True,correct_feasible_plan,True,True,1,44325a1d6f986fbdec4c,one_class_no_witness
pilot-04,D,2,True,correct_feasible_plan,True,True,1,44325a1d6f986fbdec4c,one_class_no_witness
pilot-04,D,4,True,correct_feasible_plan,True,True,1,44325a1d6f986fbdec4c,one_class_no_witness
pilot-04,E,0,True,correct_feasible_plan,True,True,0,44325a1d6f986fbdec4c,judgment_budget_limit
pilot-04,E,1,True,correct_feasible_plan,True,True,1,44325a1d6f986fbdec4c,one_class_no_witness
pilot-04,E,2,True,correct_feasible_plan,True,True,1,44325a1d6f986fbdec4c,one_class_no_witness
pilot-04,E,4,True,correct_feasible_plan,True,True,1,44325a1d6f986fbdec4c,one_class_no_witness
pilot-05,D,0,False,invalid_model_output,False,False,0,,no_parsed_candidate
pilot-05,D,1,False,invalid_model_output,False,False,0,,no_parsed_candidate
pilot-05,D,2,False,invalid_model_output,False,False,0,,no_parsed_candidate
pilot-05,D,4,False,invalid_model_output,False,False,0,,no_parsed_candidate
pilot-05,E,0,False,invalid_model_output,False,False,0,,no_parsed_candidate
pilot-05,E,1,False,invalid_model_output,False,False,0,,no_parsed_candidate
pilot-05,E,2,False,invalid_model_output,False,False,0,,no_parsed_candidate
pilot-05,E,4,False,invalid_model_output,False,False,0,,no_parsed_candidate
pilot-06,D,0,True,correct_feasible_plan,True,True,0,06a8981f38212ea1c2e1,judgment_budget_limit
pilot-06,D,1,True,correct_feasible_plan,True,True,1,06a8981f38212ea1c2e1,judgment_budget_limit
pilot-06,D,2,True,correct_feasible_plan,True,True,2,06a8981f38212ea1c2e1,one_class_no_witness
