scenario_id,distinguishable,consequential,uniform_weights,divergent_sequences,semantic_classes,cause
pilot-00,True,True,False,True,3,different_first
pilot-01,True,True,True,False,2,two_classes
pilot-02,False,False,False,False,1,one_class
pilot-03,False,False,False,False,1,one_class
pilot-04,True,True,True,False,2,two_classes
pilot-05,False,False,False,False,0,no_parsed_candidate
pilot-06,True,True,False,False,3,variable_weights_same_first
pilot-07,False,False,False,False,1,one_class
pilot-08,True,False,True,False,2,two_classes
pilot-09,False,False,False,False,1,one_class
pilot-10,False,False,False,False,1,one_class
pilot-11,False,False,False,False,1,one_class
pilot-12,True,True,True,False,2,two_classes
pilot-13,True,False,True,False,2,two_classes
pilot-14,True,True,True,False,3,uniform_weights_3plus
pilot-15,False,False,False,False,0,no_parsed_candidate
pilot-16,False,False,False,False,1,one_class
pilot-17,False,False,False,False,1,one_class
pilot-18,True,False,True,False,2,two_classes
pilot-19,False,False,False,False,1,one_class
pilot-20,True,True,True,False,3,uniform_weights_3plus
pilot-21,True,False,True,False,2,two_classes
pilot-22,False,False,False,False,1,one_class
pilot-23,False,False,False,False,0,no_parsed_candidate
pilot-24,True,True,False,False,3,variable_weights_same_first
pilot-25,True,True,True,False,2,two_classes
pilot-26,True,True,True,False,2,two_classes
pilot-27,True,True,True,False,2,two_classes
pilot-28,False,False,False,False,1,one_class
pilot-29,False,False,False,False,1,one_class
pilot-30,True,False,True,False,2,two_classes
pilot-31,False,False,False,False,1,one_class
pilot-32,True,True,True,False,2,two_classes
pilot-33,False,False,False,False,0,no_parsed_candidate
pilot-34,True,True,True,False,4,uniform_weights_3plus
pilot-35,False,False,False,False,1,one_class
pilot-36,True,False,True,False,2,two_classes
pilot-37,True,True,False,True,4,different_first
pilot-38,True,True,True,False,2,two_classes
pilot-39,False,False,False,False,1,one_class
pilot-40,True,True,True,False,2,two_classes
pilot-41,False,False,False,False,0,no_parsed_candidate
pilot-42,True,True,True,False,2,two_classes
pilot-43,False,False,False,False,1,one_class
pilot-44,True,False,True,False,2,two_classes
pilot-45,False,False,False,False,1,one_class
pilot-46,False,False,False,False,1,one_class
pilot-47,True,True,True,False,2,two_classes
